SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8017 W Bryn Mawr Ave,Norwood Park,IL,60631,475000,3,2.0,Norwood Park Township,1610,8533,1959,1,295,,Active,,,https://www.redfin.com/IL/Chicago/8017-W-Bryn-Mawr-Ave-60656/home/13560104,MRED,11645552,N,Y,41.9807751,-87.8277658
MLS Listing,,Single Family Residential,8407 S Gilbert Ct,Chicago,IL,60620,315000,4,2.0,CHI - Auburn Gresham,1300,,,1,242,,Active,,,https://www.redfin.com/IL/Chicago/8407-S-Gilbert-Ct-60620/home/13226541,MRED,11645546,N,Y,41.7405979,-87.6426419
MLS Listing,,Single Family Residential,12338 S Emerald Ave,Chicago,IL,60628,68000,3,1.0,CHI - West Pullman,972,,1928,1,70,,Active,,,https://www.redfin.com/IL/Chicago/12338-S-Emerald-Ave-60628/home/13057619,MRED,11645540,N,Y,41.6693563,-87.6407119
MLS Listing,,Condo/Co-op,1654 W Diversey Pkwy #3,Chicago,IL,60614,699000,3,2.0,CHI - Lake View,2400,,2001,1,291,290,Active,October-9-2022 12:00 PM,October-9-2022 02:00 PM,https://www.redfin.com/IL/Chicago/1654-W-Diversey-Pkwy-60614/unit-3/home/12740396,MRED,11645537,N,Y,41.9326414,-87.6705939
MLS Listing,,Single Family Residential,1229 W 74th St,Chicago,IL,60636,139900,3,2.0,CHI - West Englewood,,3123,1912,1,,,Active,,,https://www.redfin.com/IL/Chicago/1229-W-74th-St-60636/home/13914246,MRED,11645535,N,Y,41.7594055,-87.6551675
MLS Listing,,Multi-Family (2-4 Unit),5319 S Princeton Ave,Chicago,IL,60609,79000,6,2.0,CHI - Fuller Park,,,1884,1,,,Active,,,https://www.redfin.com/IL/Chicago/5319-S-Princeton-Ave-60609/home/13951950,MRED,11645533,N,Y,41.7975169,-87.6328475
MLS Listing,,Single Family Residential,3000 N Nagle Ave,Chicago,IL,60634,425000,4,2.0,CHI - Belmont Cragin,3020,3763,1930,1,141,,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/3000-N-Nagle-Ave-60634/home/13433137,MRED,11645526,N,Y,41.9347662,-87.787343
MLS Listing,,Single Family Residential,7835 W Berwyn Ave,Chicago,IL,60656,359900,2,1.5,CHI - Norwood Park,1169,5000,1942,1,308,,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/7835-W-Berwyn-Ave-60656/home/13555751,MRED,11615400,N,Y,41.9757562,-87.8232932
MLS Listing,,Single Family Residential,2008 W Ohio St,Chicago,IL,60612,1150000,4,3.5,East Village,4000,2927,2002,1,288,,Active,,,https://www.redfin.com/IL/Chicago/2008-W-Ohio-St-60612/home/14104637,MRED,11645521,N,Y,41.8924211,-87.6773563
MLS Listing,,Condo/Co-op,1440 N Lake Shore Dr Unit 34E,Chicago,IL,60610,399000,2,2.0,CHI - Near North Side,1350,,1965,1,296,1452,Active,,,https://www.redfin.com/IL/Chicago/1440-N-Lake-Shore-Dr-60610/unit-34E/home/182135042,MRED,11645518,N,Y,41.9089622,-87.6266981
